Area,
Abbreviation,Unit
km²,square kilometer
m²,square meter
dm²,square decimeter
cm²,square centimeter
mm²,square millimeter
ha,hectare
a,are
ca,centiare
mile²,square mile
in²,square inch
yd²,square yard
ft²,square foot
ro,rood
acre,acre
nautical mile²,square nautical mile
