Weight,
Abbreviation,Unit
t,tonne
kg,kilogram
hg,hectogram
g,gram
dg,decigram
cg,centigram
mg,milligram
µg,microgram
carat,carat
grain,grain
oz (av),ounce avoirdupois
lb (av),pound avoirdupois
cwt(UK),long hundredweight
cwt(US),short hundredweight
ton(UK),long ton
ton(US),short ton
st(UK),stone
