3,0.125,0.405,0.307,10,0.049,0.1863
4,0.125,0.405,0.307,10S,0.049,0.1863
5,0.125,0.405,0.269,40,0.068,0.2447
6,0.125,0.405,0.269,STD,0.068,0.2447
7,0.25,0.54,0.41,10,0.065,0.3297
8,0.25,0.54,0.41,10S,0.065,0.3297
9,0.25,0.54,0.364,40,0.088,0.4248
10,0.25,0.54,0.364,STD,0.088,0.4248
